PPN	EPN	Jahr	Verfasser	Titel	Umfang	Hinweise	Einband	Signatur	Link
655194665	1235781011	1694	Nübling, Martin ; ID: gnd/130641480	[Stammbuch Martin Nübling]	248 Bl.	Enth. auch zahlr. leere Bl.	Einband: Brauner Kalblederband, Rücken mit Goldprägung. Goldschnitt. Spiegel und Vorsätze goldener Bronzefirnisdruck auf weinrot gestrichenem Buntpapier.	Stb 48	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1281624071
655194673	123578102X	1687	Nübling, Ulrich *1666-1729* ; ID: gnd/122997867	[Stammbuch Ulrich Nübling II.]	199 Bl.	Enth. auch leere Bl.	Einband: Dunkelbraunes Rindleder mit Goldprägung, Streicheisenlinien, Medaillons in den Ecken und der Mitte; Rücken nachträglich mit Kiebitzpapier verstärkt. Goldschnitt. Spiegel und Vorsätze Wellenmarmorpapier.	Stb 49	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1281628832
655194681	1235781038	1709	Sapper, Johann Georg *1687-1756* ; ID: gnd/101031270	[Stammbuch Johann Georg Sapper]	183 Bl.	Enth. auch leere Bl.	Einband: Brauner Kalblederband. Goldschnitt.	Stb 50	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1282115014
65519469X	1235781054	1702	Franck, Johann Wilhelm ; ID: gnd/1016537883	[Stammbuch Johann Wilhelm Franck]	174 Bl.	Enth. auch leere Bl.	Einband: Brauner Kalblederband mit reicher Goldprägung (verblaßt). Goldschnitt, an den Rändern punziert. Spiegel und Vorsätze Kamm-Marmorpapier.	Stb 51	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=128211915X
655194703	1235781062	1654	Röbelen, Georg *-1694* ; ID: gnd/1016664273	[Stammbuch Georg Roebelen]	251 Bl.	Enth. auch zahlr. leere Bl.	Einband: Schwarzes Maroquin mit Goldprägung; punzierter Goldschnitt. Spiegel Wellenmarmorpapier. Zweiseitiges Schneckenmarmorpapier Bl. 103.	Stb 52	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1282132636
655194711	1235781070	1651	Nübling, Ulrich *1630-1675* ; ID: gnd/101666835X	[Stammbuch Ulrich Nübling I.]	279 Bl.	Enth. auch zahlr. leere Bl.	Einband: Dunkelbraunes Maroquin mit Goldprägung, Streicheisenlinien, Medaillons in den Ecken und der Mitte; Rücken nachträglich mit Kiebitzpapier verstärkt. Goldschnitt, punziert. Wellenmarmorpapier in Spiegeln und Vorsätzen (hier zweiseitig).	Stb 54	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286207134
65519472X	1235781089	1645	Lommer, Christian *1625-1685* ; ID: gnd/1012382001	[Stammbuch Christian Lommer]	159 Bl.	Enth. auch zahlr. leere Bl.	Einband: Schwarzes Maroquin mit reicher Goldprägung, Steh- und Innenkantenvergoldung; reich punzierter Goldschnitt. Spiegel und Vorsätze Wellenmarmorpapier.	Stb 55	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286209005
655194746	1235781100	1712	Schölkopf, Michael *1689-1752* ; ID: gnd/1016754205	[Stammbuch Michael Schölkopf]	225 Bl.	Enth. auch leere Bl.	Einband: Braunes Kalbleder, vergoldete Streicheisenlinien. Goldschnitt, an Kapital und Ecken punziert. Spiegel und Vorsätze goldenes Metallpapier.	Stb 57	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1282554115
655194762	1235781127	1733	Mäußlen, Andreas *1707-1770* ; ID: gnd/1016795432	[Stammbuch Andreas Mäußlen]	91 Bl.	Enth. auch leere Bl.	Einband: Braunes Kiebitzpapier über Pappe, für Wagner neu gebunden. Goldschnitt.	Stb 59	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286369622
655194770	1235781135	1640	Merk, Johann ; ID: gnd/1016796803	[Stammbuch Johann Merk]	203 Bl.	Enth. auch leere Bl.	Einband: Schwarzes Maroquin mit reicher Goldprägung, Stehkantenvergoldung. Goldschnitt.	Stb 60	http://haab-digital.klassik-stiftung.de/viewer/ppnresolver?id=1286371996
