"Einträger","Stammbuch"
"123961572","1012305473"
"128556315","1012305473"
"128742658","1012305473"
"136914586","1012305473"
"1015336760","1012305473"
"1017673071","1012305473"
"1018113894","1012305473"
"1031802185","1012305473"
"1058941240","1012305473"
"1059143518","1012305473"
"1059144123","1012305473"
"1059145014","1012305473"
"1059411415","1012305473"
"1059420708","1012305473"
"1059424347","1012305473"
"103876971X","1012305473"
"13002600X","1012305473"
"1071497804","1013031113"
"115794115","1013031113"
"116470089","1013031113"
"118014145","1013031113"
"118505076","1013031113"
"120182955","1013031113"
"100205828","1014349664"
"100236383","1014349664"
"10068520X","1014349664"
"100873286","1014349664"
"103028184X","1014349664"
"104125306","1014349664"
"10434539X","1014349664"
"1060473593","1014349664"
"1071003283","1014349664"
"1072801477","1014349664"
"1147501653","1014349664"
"11537762X","1014349664"
"11546364X","1014349664"
"115672060","1014349664"
"115785159","1014349664"
"116074418","1014349664"
"116137819","1014349664"
"116177314","1014349664"
"116262877","1014349664"
"116353678","1014349664"
"116370661","1014349664"
"116514175","1014349664"
"116542675","1014349664"
"116743662","1014349664"
"116883391","1014349664"
"116885955","1014349664"
"116951753","1014349664"
"117120855","1014349664"
"117144991","1014349664"
"117399671","1014349664"
"11743535X","1014349664"
"117595640","1014349664"
"117644161","1014349664"
"117646520","1014349664"
"118893459","1014349664"
"119169002","1014349664"
"119813076","1014349664"
"120049813","1014349664"
"120178060","1014349664"
"121465098","1014349664"
"121544796","1014349664"
"121610772","1014349664"
"122000188","1014349664"
"122001087","1014349664"
"122041429","1014349664"
"122267702","1014349664"
"122746848","1014349664"
"122749871","1014349664"
"122837622","1014349664"
"122879899","1014349664"
"122957350","1014349664"
"123748852","1014349664"
"124332668","1014349664"
"124501990","1014349664"
"124627323","1014349664"
"124676480","1014349664"
"124844588","1014349664"
"128943432","1014349664"
"13080858X","1014349664"
"132508532","1014349664"
"136460569","1014349664"
"137832818","1014349664"
"100327451","1014386160"
"100873286","1014386160"
"100878962","1014386160"
"102434921","1014386160"
"102922381","1014386160"
"103122087","1014386160"
"104301228","1014386160"
"116292008","1014386160"
"116294485","1014386160"
"116745207","1014386160"
"116951753","1014386160"
"117039063","1014386160"
"117238333","1014386160"
"118018116","1014386160"
"118051490","1014386160"
"118144588","1014386160"
"118548573","1014386160"
"118772392","1014386160"
"120217082","1014386160"
"120227649","1014386160"
"120284588","1014386160"
"121109097","1014386160"
"121300358","1014386160"
"121396991","1014386160"
"121409899","1014386160"
"121813460","1014386160"
"121971996","1014386160"
"122746848","1014386160"
"122770889","1014386160"
"122985583","1014386160"
"123723574","1014386160"
"124183891","1014386160"
"124257321","1014386160"
"124357466","1014386160"
"124586848","1014386160"
"124807267","1014386160"
"124821472","1014386160"
"124921590","1014386160"
"126260974","1014386160"
"129082368","1014386160"
"129439843","1014386160"
"129698032","1014386160"
"129704237","1014386160"
"129872954","1014386160"
"130621463","1014386160"
"130831999","1014386160"
"131342967","1014386160"
"132090090","1014386160"
"136648444","1014386160"
"136914586","1014386160"
"139248048","1014386160"
"1011936291","1014386160"
"1018113894","1014386160"
"1027748910","1014386160"
"1028777655","1014386160"
"1033449334","1014386160"
"1058431153","1014386160"
"1059650444","1014386160"
"1059724219","1014386160"
"1059731738","1014386160"
"1060332132","1014386160"
"1060344769","1014386160"
"1060345927","1014386160"
"1060356325","1014386160"
"1060356848","1014386160"
"1063921260","1014386160"
"1065018339","1014386160"
"1068601701","1014386160"
"1068679824","1014386160"
"10068520X","1014386160"
"105846261X","1014386160"
"106835674X","1014386160"
"11581017X","1014386160"
"11728193X","1014386160"
"11859964X","1014386160"
"11859964X","1014386160"
"11859964X","1014386160"
"12010279X","1014386160"
"13002600X","1014386160"
"13080858X","1014386160"
"13196237X","1014386160"
"13750330X","1014386160"
"1115670611","1014514444"
"1115670611","1014514444"
"116031670","1014514444"
"11690237X","1014514444"
"1071496999","1014771285"
"124548938","1014771285"
"104057394","1014793637"
"104093447","1014793637"
"104243899","1014793637"
"104301465","1014793637"
"104304464","1014793637"
"104319186","1014793637"
"104338547","1014793637"
"115794948","1014793637"
"116745207","1014793637"
"116928298","1014793637"
"119144646","1014793637"
"119813076","1014793637"
"120065703","1014793637"
"120182955","1014793637"
"120750082","1014793637"
"121308383","1014793637"
"121579484","1014793637"
"121756653","1014793637"
"121999300","1014793637"
"122305574","1014793637"
"122746848","1014793637"
"122824857","1014793637"
"123723574","1014793637"
"123812836","1014793637"
"130291021","1014793637"
"130546267","1014793637"
"131400290","1014793637"
"132067722","1014793637"
"132461390","1014793637"
"132517647","1014793637"
"132704013","1014793637"
"137832818","1014793637"
"142550035","1014793637"
"1016796803","1014793637"
"1019755830","1014793637"
